,Date,Symbol,Category,Quantity
2,2009-09-22 16:00:00,ACE,BUY,100.0
3,2009-09-29 16:00:00,ACE,SELL,100.0
4,2009-08-28 16:00:00,ACN,BUY,100.0
5,2009-09-04 16:00:00,ACN,SELL,100.0
6,2008-08-05 16:00:00,ADM,BUY,100.0
7,2008-08-12 16:00:00,ADM,SELL,100.0
8,2009-09-10 16:00:00,AEE,BUY,100.0
9,2009-09-17 16:00:00,AEE,SELL,100.0
10,2008-05-15 16:00:00,AEP,BUY,100.0
11,2008-05-22 16:00:00,AEP,SELL,100.0
12,2009-04-29 16:00:00,AET,BUY,100.0
13,2009-05-06 16:00:00,AET,SELL,100.0
14,2009-05-01 16:00:00,AGN,BUY,100.0
15,2009-05-08 16:00:00,AGN,SELL,100.0
16,2009-10-19 16:00:00,AIG,BUY,100.0
17,2009-10-26 16:00:00,AIG,SELL,100.0
18,2009-05-04 16:00:00,AMT,BUY,100.0
19,2009-05-11 16:00:00,AMT,SELL,100.0
20,2009-05-08 16:00:00,AMT,BUY,100.0
21,2009-05-15 16:00:00,AMT,SELL,100.0
22,2009-05-01 16:00:00,AON,BUY,100.0
23,2009-05-08 16:00:00,AON,SELL,100.0
24,2008-08-11 16:00:00,APD,BUY,100.0
25,2008-08-18 16:00:00,APD,SELL,100.0
26,2009-12-21 16:00:00,APD,BUY,100.0
27,2009-12-29 16:00:00,APD,SELL,100.0
28,2009-07-22 16:00:00,ATI,BUY,100.0
29,2009-07-29 16:00:00,ATI,SELL,100.0
30,2009-05-08 16:00:00,AZO,BUY,100.0
31,2009-05-15 16:00:00,AZO,SELL,100.0
32,2009-08-03 16:00:00,AZO,BUY,100.0
33,2009-08-10 16:00:00,AZO,SELL,100.0
34,2009-06-04 16:00:00,BAX,BUY,100.0
35,2009-06-11 16:00:00,BAX,SELL,100.0
36,2009-10-15 16:00:00,BAX,BUY,100.0
37,2009-10-22 16:00:00,BAX,SELL,100.0
38,2009-05-07 16:00:00,BBBY,BUY,100.0
39,2009-05-14 16:00:00,BBBY,SELL,100.0
40,2009-07-23 16:00:00,BCR,BUY,100.0
41,2009-07-30 16:00:00,BCR,SELL,100.0
42,2009-07-27 16:00:00,BCR,BUY,100.0
43,2009-08-03 16:00:00,BCR,SELL,100.0
44,2008-05-19 16:00:00,BDX,BUY,100.0
45,2008-05-27 16:00:00,BDX,SELL,100.0
46,2009-05-29 16:00:00,BF.B,BUY,100.0
47,2009-06-05 16:00:00,BF.B,SELL,100.0
48,2009-04-30 16:00:00,BLL,BUY,100.0
49,2009-05-07 16:00:00,BLL,SELL,100.0
50,2009-12-14 16:00:00,C,BUY,100.0
51,2009-12-21 16:00:00,C,SELL,100.0
52,2009-12-21 16:00:00,CAG,BUY,100.0
53,2009-12-29 16:00:00,CAG,SELL,100.0
54,2009-06-02 16:00:00,CAH,BUY,100.0
55,2009-06-09 16:00:00,CAH,SELL,100.0
56,2008-07-30 16:00:00,CBG,BUY,100.0
57,2008-08-06 16:00:00,CBG,SELL,100.0
58,2008-05-15 16:00:00,CELG,BUY,100.0
59,2008-05-22 16:00:00,CELG,SELL,100.0
60,2008-08-11 16:00:00,CF,BUY,100.0
61,2008-08-18 16:00:00,CF,SELL,100.0
62,2009-09-17 16:00:00,CLX,BUY,100.0
63,2009-09-24 16:00:00,CLX,SELL,100.0
64,2008-05-19 16:00:00,CPB,BUY,100.0
65,2008-05-27 16:00:00,CPB,SELL,100.0
66,2009-05-29 16:00:00,CTAS,BUY,100.0
67,2009-06-05 16:00:00,CTAS,SELL,100.0
68,2009-12-23 16:00:00,CTAS,BUY,100.0
69,2009-12-30 16:00:00,CTAS,SELL,100.0
70,2009-09-18 16:00:00,CVH,BUY,100.0
71,2009-09-25 16:00:00,CVH,SELL,100.0
72,2009-05-05 16:00:00,DF,BUY,100.0
73,2009-05-12 16:00:00,DF,SELL,100.0
74,2009-07-28 16:00:00,DGX,BUY,100.0
75,2009-08-04 16:00:00,DGX,SELL,100.0
